2026-08-05T08:55:09.580816Z	info	dns	Starting local udp DNS server on 127.0.0.1:0
2026-08-05T08:55:09.581329Z	info	dns	Starting local tcp DNS server on 127.0.0.1:0
fuzz: elapsed: 0s, gathering baseline coverage: 0/336 completed
fuzz: elapsed: 2s, gathering baseline coverage: 336/336 completed, now fuzzing with 4 workers
fuzz: elapsed: 3s, execs: 29197 (9731/sec), new interesting: 4 (total: 340)
fuzz: elapsed: 6s, execs: 82035 (17613/sec), new interesting: 8 (total: 344)
fuzz: elapsed: 9s, execs: 125545 (14505/sec), new interesting: 15 (total: 351)
fuzz: elapsed: 12s, execs: 168831 (14424/sec), new interesting: 20 (total: 356)
fuzz: elapsed: 15s, execs: 211082 (14089/sec), new interesting: 28 (total: 364)
fuzz: elapsed: 18s, execs: 422766 (70540/sec), new interesting: 38 (total: 374)
fuzz: elapsed: 21s, execs: 490152 (22464/sec), new interesting: 61 (total: 397)
fuzz: elapsed: 24s, execs: 554691 (21515/sec), new interesting: 66 (total: 402)
fuzz: elapsed: 27s, execs: 624070 (23113/sec), new interesting: 72 (total: 408)
fuzz: elapsed: 30s, execs: 911864 (95997/sec), new interesting: 79 (total: 415)
fuzz: elapsed: 33s, execs: 964362 (17499/sec), new interesting: 81 (total: 417)
fuzz: elapsed: 36s, execs: 1010295 (15309/sec), new interesting: 89 (total: 425)
fuzz: elapsed: 39s, execs: 1069758 (19822/sec), new interesting: 99 (total: 435)
fuzz: elapsed: 42s, execs: 1224542 (51591/sec), new interesting: 106 (total: 442)
fuzz: elapsed: 45s, execs: 1276979 (17480/sec), new interesting: 107 (total: 443)
fuzz: elapsed: 48s, execs: 1364234 (29082/sec), new interesting: 109 (total: 445)
fuzz: elapsed: 51s, execs: 1424732 (20165/sec), new interesting: 111 (total: 447)
fuzz: elapsed: 54s, execs: 1655748 (77025/sec), new interesting: 124 (total: 460)
fuzz: elapsed: 57s, execs: 1731775 (25338/sec), new interesting: 136 (total: 472)
fuzz: elapsed: 1m0s, execs: 1844865 (37703/sec), new interesting: 138 (total: 474)
fuzz: elapsed: 1m3s, execs: 1929609 (28242/sec), new interesting: 139 (total: 475)
fuzz: elapsed: 1m6s, execs: 2010985 (27129/sec), new interesting: 142 (total: 478)
fuzz: elapsed: 1m9s, execs: 2084995 (24668/sec), new interesting: 151 (total: 487)
fuzz: elapsed: 1m12s, execs: 2138991 (17998/sec), new interesting: 158 (total: 494)
fuzz: elapsed: 1m15s, execs: 2228496 (29842/sec), new interesting: 160 (total: 496)
fuzz: elapsed: 1m18s, execs: 2313976 (28489/sec), new interesting: 165 (total: 501)
fuzz: elapsed: 1m21s, execs: 2398008 (27995/sec), new interesting: 168 (total: 504)
fuzz: elapsed: 1m24s, execs: 2478279 (26773/sec), new interesting: 170 (total: 506)
fuzz: elapsed: 1m27s, execs: 2513799 (11840/sec), new interesting: 175 (total: 511)
fuzz: elapsed: 1m30s, execs: 2600880 (29024/sec), new interesting: 185 (total: 521)
fuzz: elapsed: 1m33s, execs: 2758404 (52479/sec), new interesting: 188 (total: 524)
fuzz: elapsed: 1m36s, execs: 2836373 (26002/sec), new interesting: 190 (total: 526)
fuzz: elapsed: 1m39s, execs: 2898103 (20575/sec), new interesting: 192 (total: 528)
